b11JJ7UdR-XxMFYNTnLUaQ	none	N/A	N/A	BikeParking	N/A	loud	1	casual	GoodForMeal_brunch	N/A	GoodForKids RestaurantsGoodForGroups
jalA5zHW8ZfY3RSPG7oDxQ	none	Ambience_intimate	N/A	BikeParking BusinessParking_street	N/A	average	2	casual	GoodForMeal_dinner	N/A	OutdoorSeating RestaurantsReservations
Y_SKyssv8ClQ_p25lCsbAQ	N/A	N/A	N/A	N/A	N/A	quiet	2	casual	N/A	N/A	GoodForKids RestaurantsGoodForGroups RestaurantsReservations
4tJiL2mHKO-erM6xoZji9Q	full_bar	Ambience_casual	N/A	BikeParking BusinessParking_street	N/A	average	1	casual	GoodForMeal_lunch GoodForMeal_dinner	N/A	GoodForKids RestaurantsDelivery RestaurantsGoodForGroups
tSiR_cl3GBrTZUbEvkZ2XA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	RestaurantsGoodForGroups
_toz5ca6UeEMm-ScLakofg	beer_and_wine	Ambience_casual	N/A	BikeParking BusinessParking_street	Music_jukebox	average	1	casual	GoodForMeal_lunch	BestNights_thursday BestNights_friday BestNights_saturday	GoodForKids OutdoorSeating RestaurantsDelivery RestaurantsGoodForGroups
vn0wYNms_5PseeYZ6pfLmA	none	N/A	N/A	BikeParking BusinessParking_street	N/A	quiet	1	casual	GoodForMeal_breakfast GoodForMeal_brunch	N/A	GoodForKids RestaurantsDelivery RestaurantsGoodForGroups
i4CF-bIEfNeYoQ87klS78Q	beer_and_wine	Ambience_casual	N/A	N/A	N/A	quiet	2	casual	GoodForMeal_dessert	N/A	GoodForKids RestaurantsDelivery RestaurantsGoodForGroups RestaurantsReservations
8bMBrj5h3w4EnNyzhfDTrw	N/A	N/A	N/A	N/A	N/A	average	1	casual	N/A	N/A	GoodForKids
xkbUCdXRQfKJ-mT3xmH8qQ	N/A	N/A	N/A	BikeParking	N/A	average	1	casual	N/A	N/A	GoodForKids OutdoorSeating RestaurantsGoodForGroups
3zR3Uj23aXY1V3L2qt1t6w	none	Ambience_casual	N/A	BusinessParking_lot	N/A	average	1	casual	GoodForMeal_breakfast GoodForMeal_brunch GoodForMeal_lunch	N/A	GoodForKids RestaurantsGoodForGroups
Ladt7CobMcCFZ8-iC5v0cw	none	Ambience_divey	N/A	BusinessParking_lot	N/A	average	1	casual	GoodForMeal_breakfast GoodForMeal_brunch GoodForMeal_lunch	N/A	GoodForKids
OFW2HD4_0T2pExMsmFKx-w	none	N/A	N/A	N/A	N/A	quiet	1	casual	N/A	N/A	GoodForKids RestaurantsDelivery RestaurantsGoodForGroups
MjD_bzVtkAIviFsNFGy7Zg	none	Ambience_casual	N/A	BusinessParking_street	N/A	average	1	casual	GoodForMeal_lunch GoodForMeal_dinner	N/A	GoodForKids OutdoorSeating
GTx0p6R141T9poHVXOWVYw	none	Ambience_casual	N/A	BikeParking	N/A	quiet	2	casual	GoodForMeal_breakfast GoodForMeal_lunch GoodForMeal_dinner	N/A	GoodForKids RestaurantsGoodForGroups
xZfPdAYeimiruXuGR4nSUA	none	Ambience_casual Ambience_hipster	N/A	BikeParking BusinessParking_lot	N/A	average	2	casual	GoodForMeal_lunch	N/A	GoodForKids OutdoorSeating RestaurantsGoodForGroups
P2uPCEBP2VZsApnvEHCgag	none	Ambience_casual	N/A	BikeParking BusinessParking_lot BusinessParking_street	N/A	average	2	casual	GoodForMeal_lunch GoodForMeal_dinner	N/A	GoodForKids RestaurantsDelivery RestaurantsGoodForGroups RestaurantsReservations
lNVg4jtfTEIAtOkA_0aEPQ	full_bar	N/A	N/A	N/A	N/A	loud	2	casual	N/A	N/A	GoodForKids OutdoorSeating RestaurantsGoodForGroups
6bR_7l9IduBaglZJbqLFWg	N/A	N/A	N/A	BusinessParking_street	N/A	N/A	1	N/A	N/A	N/A	OutdoorSeating
CAAjkqy2J_d7RerJSVyx5w	N/A	N/A	N/A	N/A	N/A	N/A	1	casual	N/A	N/A	GoodForKids RestaurantsGoodForGroups
G-OMrmKRaSumc73LaSbhPA	N/A	N/A	N/A	N/A	N/A	N/A	1	casual	N/A	N/A	GoodForKids RestaurantsDelivery RestaurantsGoodForGroups
_AKdBFzkl7GY-daxUCCbVA	full_bar	Ambience_trendy	N/A	BikeParking BusinessParking_lot	N/A	average	2	casual	GoodForMeal_lunch GoodForMeal_dinner	N/A	GoodForKids OutdoorSeating RestaurantsGoodForGroups RestaurantsReservations
1cGyzWtfOoDiE8V0OR85yA	none	Ambience_casual	N/A	BikeParking BusinessParking_street	N/A	average	2	casual	GoodForMeal_breakfast GoodForMeal_brunch GoodForMeal_lunch	N/A	GoodForKids OutdoorSeating
BsLyCu_lkEdkG42qmvZlnQ	full_bar	Ambience_trendy	N/A	BikeParking BusinessParking_garage	N/A	average	2	casual	GoodForMeal_lunch GoodForMeal_dinner	N/A	GoodForKids OutdoorSeating RestaurantsGoodForGroups RestaurantsReservations
KvlaL5wejWOaZayBxP_vUQ	full_bar	Ambience_casual	N/A	BikeParking BusinessParking_garage BusinessParking_street	N/A	very_loud	2	casual	N/A	N/A	GoodForKids OutdoorSeating RestaurantsDelivery RestaurantsGoodForGroups
HnYIhqta4432AsqGBcSlfg	full_bar	N/A	N/A	N/A	N/A	average	2	casual	N/A	N/A	N/A
F32TBGo4dVLYxsgllAUQ3w	N/A	N/A	N/A	N/A	N/A	N/A	1	casual	N/A	N/A	GoodForKids RestaurantsDelivery RestaurantsGoodForGroups
7rqpu7hwyFTEBZOZoNv7iA	none	N/A	N/A	N/A	N/A	N/A	2	casual	N/A	N/A	N/A
wRl0dGVhZtFB33bZP9wl9w	N/A	N/A	N/A	N/A	N/A	N/A	2	N/A	N/A	N/A	N/A
RMiE7_RB0yreZqTrPEgBMQ	none	N/A	N/A	BusinessParking_street	N/A	average	2	casual	GoodForMeal_breakfast	N/A	GoodForKids RestaurantsGoodForGroups
q5MtvIuYlyndGb6e3em1xw	none	Ambience_casual	N/A	BusinessParking_lot	N/A	average	1	casual	GoodForMeal_breakfast	N/A	GoodForKids RestaurantsGoodForGroups
RJKSLn5-N0o6-zB7nG_ZTQ	full_bar	N/A	N/A	N/A	N/A	very_loud	2	casual	N/A	N/A	GoodForKids RestaurantsGoodForGroups
KRtbDbqj-bSwLL4B22FcuA	N/A	N/A	N/A	N/A	N/A	N/A	2	N/A	N/A	N/A	N/A
_29kWahGAxn1QzMmxOCRlA	none	N/A	N/A	N/A	N/A	average	1	casual	N/A	N/A	OutdoorSeating RestaurantsGoodForGroups
1o3N4PiPI-fHnJnh-U85iw	none	N/A	N/A	BikeParking	N/A	quiet	2	casual	N/A	N/A	GoodForKids OutdoorSeating RestaurantsGoodForGroups
LDAOmVcTQH8-tRYO8oV0ZQ	full_bar	Ambience_casual	N/A	BusinessParking_lot	GoodForDancing	loud	2	casual	GoodForMeal_dinner GoodForMeal_latenight	N/A	GoodForKids OutdoorSeating RestaurantsGoodForGroups
A4kCvILTgfr_2cG0_yGNiw	beer_and_wine	Ambience_casual	N/A	BikeParking BusinessParking_street	Music_karaoke	average	2	casual	GoodForMeal_dinner	BestNights_wednesday BestNights_friday BestNights_sunday	GoodForKids RestaurantsGoodForGroups RestaurantsReservations
N9Q2HlpqeG2NKbvqJI-REw	none	N/A	N/A	BikeParking BusinessParking_lot	N/A	quiet	2	casual	GoodForMeal_dinner	N/A	GoodForKids OutdoorSeating RestaurantsGoodForGroups RestaurantsReservations
wDbHi9749cEhJTT2sttHBw	full_bar	N/A	N/A	N/A	N/A	quiet	2	casual	N/A	N/A	GoodForKids RestaurantsGoodForGroups
zMfZLd5_h5W8ZVxTNoeJyQ	full_bar	Ambience_casual	N/A	BikeParking BusinessParking_street	N/A	average	2	casual	GoodForMeal_lunch GoodForMeal_dinner	N/A	OutdoorSeating RestaurantsGoodForGroups RestaurantsReservations
yiN4aDHeW0kBvZQE1bYTLQ	N/A	N/A	N/A	BusinessParking_lot	N/A	N/A	3	casual	N/A	N/A	GoodForKids OutdoorSeating RestaurantsDelivery RestaurantsReservations
gMPtAFyWjE_uama1OyDblw	none	N/A	N/A	BikeParking	N/A	N/A	1	casual	N/A	N/A	GoodForKids RestaurantsDelivery
